# 52x52.Tetramagic Square.
# Generated by Toshihiro Shirakawa in 2026.01.24
# S1=70278
# S2=126664382
# S3=256827858768
# S4=555467267610554

1094,510,2084,191,2470,1956,1620,1551,2663,1241,2336,974,702,863,291,1302,1430,804,332,531,1686,2578,57,2076,1800,2239,464,903,627,2646,125,1017,2172,2371,1899,1273,1401,2412,1840,2001,1729,367,1462,40,1152,1083,747,233,2512,619,2193,1609,
1694,1920,1058,2661,1344,2138,2569,2185,919,596,2387,856,655,713,751,1736,2471,196,1189,1417,421,2326,58,281,1498,1581,1122,1205,2422,2645,377,2282,1286,1514,2507,232,967,1952,1990,2048,1847,316,2107,1784,518,134,565,1359,42,1645,783,1009,
2418,1415,95,2036,2698,2183,1907,483,1759,2102,2499,1652,1534,1706,1775,322,869,433,2461,2584,736,1246,1987,1562,1396,411,2292,1307,1141,716,1457,1967,119,242,2270,1834,2381,928,997,1169,1051,204,601,944,2220,796,520,5,667,2608,1288,285,
1959,309,1685,1522,2294,1363,1734,1848,1597,137,2278,2166,2516,1634,1436,1917,2040,1779,2676,1499,2088,210,714,74,2380,2229,474,323,2629,1989,2493,615,1204,27,924,663,786,1267,1069,187,537,425,2566,1106,855,969,1340,409,1181,1018,2394,744,
662,1035,59,2426,841,25,1788,1222,1948,1526,2139,2311,1375,1063,1753,245,2209,185,151,1889,1588,699,1453,578,430,326,2377,2273,2125,1250,2004,1115,814,2552,2518,494,2458,950,1640,1328,392,564,1177,755,1481,915,2678,1862,277,2644,1668,2041,
579,2322,1871,1055,1260,463,263,2488,1805,2039,468,819,1683,2692,1469,750,351,2136,1524,1996,973,2611,2550,2521,1383,1128,1575,1320,182,153,92,1730,707,1179,567,2352,1953,1234,11,1020,1884,2235,664,898,215,2440,2240,1443,1648,832,381,2124,
73,1166,2123,2396,657,875,946,728,1010,2662,1470,782,538,2482,727,2194,404,1321,1771,2587,354,2280,1072,1601,164,1409,1294,2539,1102,1631,423,2349,116,932,1382,2299,509,1976,221,2165,1921,1233,41,1693,1975,1757,1828,2046,307,580,1537,2630,
454,1127,965,865,2234,1949,1461,1156,179,1452,85,808,927,2011,2357,1061,397,2408,2465,991,2689,1312,2581,557,595,2070,633,2108,2146,122,1391,14,1712,238,295,2306,1642,346,692,1776,1895,2618,1251,2524,1547,1242,754,469,1838,1738,1576,2249,
2103,636,801,1583,2701,994,1371,961,478,700,2379,2328,1490,561,1173,86,1411,1614,1819,2555,778,183,465,854,2433,258,2445,270,1849,2238,2520,1925,148,884,1089,1292,2617,1530,2142,1213,375,324,2003,2225,1742,1332,1709,2,1120,1902,2067,600,
824,2020,376,937,2072,1289,247,16,1568,605,138,774,457,1513,2534,901,1306,2366,862,1472,2173,1702,2415,2191,2624,1050,1653,79,512,288,1001,530,1231,1841,337,1397,1802,169,1190,2246,1929,2565,2098,1135,2687,2456,1414,631,1766,2327,683,1879,
1162,629,931,1124,1966,712,791,1835,401,1663,1932,682,2435,214,1882,199,1276,871,1780,719,2545,51,2490,2182,2695,1713,990,8,521,213,2652,158,1984,923,1832,1427,2504,821,2489,268,2021,771,1040,2302,868,1912,1991,737,1579,1772,2074,1541,
2406,180,2109,2008,1434,2260,357,2576,1161,1066,1892,1002,2227,2297,758,2037,834,1582,1338,1726,212,1768,1504,54,528,2655,48,2175,2649,1199,935,2491,977,1365,1121,1869,666,1945,406,476,1701,811,1637,1542,127,2346,443,1269,695,594,2523,297,
1021,2276,671,220,1765,2177,1546,1400,866,1951,1809,1123,2544,1616,2656,2086,1282,2323,723,2641,2188,314,152,784,304,1245,1458,2399,1919,2551,2389,515,62,1980,380,1421,617,47,1087,159,1580,894,752,1837,1303,1157,526,938,2483,2032,427,1682,
939,1983,231,1046,2140,31,805,2392,612,1465,735,2049,896,2257,1569,102,165,1839,470,383,1394,108,1448,1508,1665,315,2388,1038,1195,1255,2595,1309,2320,2233,864,2538,2601,1134,446,1807,654,1968,1238,2091,311,1898,2672,563,1657,2472,720,1764,
743,1370,2219,38,2638,1503,559,234,1903,400,943,879,1793,331,202,428,646,1651,706,1139,2105,1188,1016,2597,1270,296,2407,1433,106,1687,1515,598,1564,1997,1052,2057,2275,2501,2372,910,1824,1760,2303,800,2469,2144,1200,65,2665,484,1333,1960,
1722,1422,1402,2442,150,472,1043,2181,1488,1675,273,1158,2340,1337,1830,2128,2642,2542,2186,945,1367,592,2600,1995,2395,2241,462,308,708,103,2111,1336,1758,517,161,61,575,873,1366,363,1545,2430,1028,1215,522,1660,2231,2553,261,1301,1281,981,
1595,2669,668,225,985,2543,120,1789,2104,550,1360,2252,733,1979,1067,97,289,491,787,2367,1492,1525,1705,2331,1843,1298,1405,860,372,998,1178,1211,336,1916,2212,2414,2606,1636,724,1970,451,1343,2153,599,914,2583,160,1718,2478,2035,34,1108,
2599,2450,1455,1012,2180,410,2196,2403,156,1643,588,1557,2666,1566,1985,1725,333,2615,1389,1914,2285,2031,739,1851,1459,1783,920,1244,852,1964,672,418,789,1314,88,2370,978,718,1137,37,1146,2115,1060,2547,300,507,2293,523,1691,1248,253,104,
145,1432,793,229,1388,703,1191,276,201,349,573,1243,2055,2155,1852,1126,963,1794,2266,2199,2640,396,1939,2688,1698,1053,1650,1005,15,764,2307,63,504,437,909,1740,1577,851,548,648,1460,2130,2354,2502,2427,1512,2000,1315,2474,1910,1271,2558,
4,2603,294,124,2006,797,2287,773,2485,1034,1593,543,341,1268,2213,1618,893,2508,1151,986,838,2071,1399,2288,1502,2090,613,1201,415,1304,632,1865,1717,1552,195,1810,1085,490,1435,2362,2160,1110,1669,218,1930,416,1906,697,2579,2409,100,2699,
508,1933,1439,1207,2131,553,2265,355,264,1330,1858,32,1615,257,1909,656,1574,679,2596,1786,2607,1743,1030,1523,2540,385,2318,163,1180,1673,960,96,917,107,2024,1129,2047,794,2446,1088,2671,845,1373,2439,2348,438,2150,572,1496,1264,770,2195,
441,2385,2401,2087,1090,1815,118,2010,2190,250,1154,18,1197,626,2513,1820,78,1944,1611,1908,1441,529,1674,1398,2317,1724,979,386,1305,1029,2174,1262,795,1092,759,2625,883,190,2077,1506,2685,1549,2453,513,693,2585,888,1613,616,302,318,2262,
1384,2390,50,178,704,1822,366,611,77,109,1747,1208,1714,2200,2405,673,1520,1661,1280,2255,539,741,911,2473,1113,1878,825,1590,230,1792,1962,2164,448,1423,1042,1183,2030,298,503,989,1495,956,2594,2626,2092,2337,881,1999,2525,2653,313,1319,
426,1767,1528,412,2484,1,2121,486,1479,1031,844,1116,1804,2621,1418,2559,630,792,710,570,1612,767,2358,1386,2500,283,2420,203,1317,345,1936,1091,2133,1993,1911,2073,144,1285,82,899,1587,1859,1672,1224,2217,582,2702,219,2291,1175,936,2277,
1737,2681,2338,593,1240,1886,1589,1327,1440,2135,436,254,1032,1954,2659,877,992,2342,1219,2178,1798,140,806,2441,2452,466,2237,251,262,1897,2563,905,525,1484,361,1711,1826,44,749,1671,2449,2267,568,1263,1376,1114,817,1463,2110,365,22,966,
650,1212,1353,836,1045,822,984,67,1003,2462,891,435,1138,2664,552,766,344,1272,2232,402,111,1510,2423,2514,694,607,2096,2009,189,280,1193,2592,2301,471,1431,2359,1937,2151,39,1565,2268,1812,241,1700,2636,1719,1881,1658,1867,1350,1491,2053,
729,652,861,1186,1041,1454,420,972,999,413,98,1787,2650,686,900,621,141,2560,1119,1586,2535,653,2347,506,1044,2457,246,1659,2197,356,2050,168,1117,1584,143,2562,2082,1803,2017,53,916,2605,2290,1704,1731,2283,1249,1662,1517,1842,2051,1974,
1797,2149,384,1727,810,602,21,1147,2443,135,75,207,2375,1935,2019,1209,870,499,2466,988,2274,1429,1111,1084,1354,659,2044,1349,1619,1592,1274,429,1715,237,2204,1833,1494,684,768,328,2496,2628,2568,260,1556,2682,2101,1893,976,2319,554,906,
1159,2253,2154,722,2028,1670,2480,1904,1390,2425,2616,2365,970,1791,1109,1857,30,2329,1218,492,175,1425,1971,1632,591,130,2573,2112,1071,732,1278,2528,2211,1485,374,2673,846,1594,912,1733,338,87,278,1313,799,223,1033,675,1981,549,450,1544,
2459,2158,2517,1856,149,781,1446,439,1165,2224,2696,2368,2437,614,395,908,1646,982,1982,1957,1210,2620,645,1027,1377,1567,1136,1326,1676,2058,83,1493,746,721,1721,1057,1795,2308,2089,266,335,7,479,1538,2264,1257,1922,2554,847,186,545,244,
1628,166,1311,691,2097,2069,2192,299,775,544,1097,1913,1531,1480,228,1015,2363,941,121,461,2339,2635,1846,46,934,1416,1287,1769,2657,857,68,364,2242,2582,1762,340,1688,2475,1223,1172,790,1606,2159,1928,2404,511,634,606,2012,1392,2537,1075,
444,1626,1160,2309,555,1362,497,1754,762,55,1104,1845,132,586,188,2023,1875,1507,286,23,1773,1293,255,343,624,1000,1703,2079,2360,2448,1410,930,2680,2417,1196,828,680,2515,2117,2571,858,1599,2648,1941,949,2206,1341,2148,394,1543,1077,2259,
2623,1752,1596,1518,547,812,1444,2598,1829,2198,996,2670,1638,734,2106,1778,1369,1473,265,194,236,2060,390,432,360,1998,705,2343,2271,2313,643,2467,2509,2438,1230,1334,925,597,1969,1065,33,1707,505,874,105,1259,1891,2156,1185,1107,951,80,
2451,129,1364,485,1054,2527,620,535,748,1225,803,1407,445,2413,1019,317,2056,1811,1728,1529,1861,1570,388,91,715,13,2690,1988,2612,2315,1133,842,1174,975,892,647,2386,1684,290,2258,1296,1900,1478,1955,2168,2083,176,1649,2218,1339,2574,252,
1426,1202,2660,577,123,64,475,1324,1078,995,1873,964,2033,1799,240,2532,2402,2132,760,1823,399,2378,677,431,1598,1550,1153,1105,2272,2026,325,2304,880,1943,571,301,171,2463,904,670,1739,830,1708,1625,1379,2228,2639,2580,2126,43,1501,1277,
1600,622,2434,2693,205,542,1378,1216,2556,1022,1855,2289,926,816,2016,1621,2492,76,625,761,1258,2222,1745,2279,359,1559,1144,2344,424,958,481,1445,1942,2078,2627,211,1082,687,1887,1777,414,848,1681,147,1487,1325,2161,2498,10,269,2081,1103,
2350,1011,807,1924,1387,685,1227,293,2526,2244,1149,2575,1723,1291,1086,2295,536,81,1806,6,1093,2122,2230,2066,1854,249,2454,849,637,473,581,1610,2697,897,2622,2167,408,1617,1412,980,128,1554,459,177,2410,1476,2018,1316,779,1896,1692,353,
2572,519,902,2116,1755,818,1226,2431,2063,1561,2312,1348,419,181,1866,2468,1973,1978,2351,1187,2143,1049,2632,1254,1667,2674,29,1036,1449,71,1654,560,1516,352,725,730,235,837,2522,2284,1355,391,1142,640,272,1477,1885,948,587,1801,2184,131,
1814,162,681,2119,306,1451,651,1081,2361,1677,2286,2486,1853,94,1395,2679,1500,493,1602,2300,126,983,569,1931,1880,1548,1155,823,772,2134,1720,2577,403,1101,2210,1203,24,1308,2609,850,217,417,1026,342,1622,2052,1252,2397,584,2022,2541,889,
2333,1239,2436,1261,953,2683,2610,1563,1014,2205,882,717,788,1655,1816,1322,2570,608,198,540,224,745,674,1509,321,2256,447,2382,1194,2029,1958,2479,2163,2505,2095,133,1381,887,1048,1915,1986,1821,498,1689,1140,93,20,1750,1442,267,1464,370,
1578,501,1644,362,853,284,1380,918,52,962,1710,45,2481,2243,2503,649,1533,757,1877,2589,524,1428,387,2015,1220,585,2118,1483,688,2316,1275,2179,114,826,1946,1170,2054,200,460,222,2658,993,1741,2651,1785,1323,2419,1850,2341,1059,2202,1125,
